text_id,word_count,char_count,mode,img_width_px,img_height_px,img_megapixels,img_downscaled,input_tokens,reduction_vs_text_pct,fields_correct,fields_total,extraction_ok
1,104,702,text,,,,False,417,,5,5,True
1,104,702,img_dense,640,162,0.104,False,816,-95.7,5,5,True
1,104,702,img_comfort,820,372,0.305,False,1019,-144.4,5,5,True
2,303,2118,text,,,,False,923,,5,5,True
2,303,2118,img_dense,640,422,0.27,False,816,11.6,5,5,True
2,303,2118,img_comfort,820,987,0.809,False,1229,-33.2,5,5,True
3,606,4276,text,,,,False,1688,,5,5,True
3,606,4276,img_dense,640,812,0.52,False,816,51.7,5,5,True
3,606,4276,img_comfort,820,1894,1.553,False,2189,-29.7,5,5,True
4,1201,8477,text,,,,False,3189,,5,5,True
4,1201,8477,img_dense,640,1576,1.009,False,1460,54.2,5,5,True
4,1201,8477,img_comfort,820,3643,2.987,False,2081,34.7,5,5,True
5,3010,21300,text,,,,False,7763,,5,5,True
5,3010,21300,img_dense,640,3883,2.485,False,1621,79.1,5,5,True
5,3010,21300,img_comfort,820,8955,7.343,True,977,87.4,2,5,False
